Good!!!!|2020-04-26 4:42:00|1|3|1
電影很好看~~~|2020-04-27 12:44:43|2|2|1
我覺得你說得很好~~推推|2020-05-02 14:27:00|3|1|1
我不喜歡這個|2020-05-11 1:42:00|4|6|1
讚讚^_^|2020-05-13 12:42:00|5|6|2
大爛片....|2020-05-26 14:42:00|6|5|2
今年度最好看的一部QQ|2020-05-28 14:42:00|7|4|2
爆推!!!!|2020-06-01 11:42:00|8|3|3
好片推一個!!|2020-06-08 14:02:00|9|1|3
哥吉拉好帥喔!!|2020-06-09 19:04:00|10|3|4
女主角很美<3|2020-06-10 18:24:00|11|1|4
彩蛋超級短的欸|2020-06-11 6:42:00|12|1|4
只有我覺得是大爛片嗎....|2020-06-12 9:28:00|13|6|4
哈哈哈|2020-06-13 11:42:00|14|1|4
Good!!!!|2020-06-14 4:42:00|15|3|5
電影很好看~~~|2020-06-15 12:44:43|16|3|5
我覺得你說得很好~~推推|2020-06-16 14:27:00|17|2|5
我不喜歡這個|2020-06-17 1:42:00|18|4|5
讚讚^_^|2020-06-18 12:42:00|19|5|6
大爛片....|2020-06-19 14:13:00|20|4|6
今年度最好看的一部QQ|2020-06-19 14:42:00|21|3|6
爆推!!!!|2020-06-20 11:42:00|21|5|6
好片推一個!!|2020-06-20 14:02:00|13|6|4
男主角好帥<3|2020-06-20 19:04:00|15|1|5
女主角很美<3|2020-06-21 18:24:00|19|1|6
彩蛋超級短的欸|2020-06-22 6:42:00|6|4|2
只有我覺得是大爛片嗎....|2020-06-22 9:28:00|5|1|2
哈哈哈|2020-06-23 11:42:00|5|5|2
電影很好看~~~|2020-06-23 12:44:43|8|3|3
我覺得你說得很好~~推推|2020-06-23 14:27:00|10|2|4
我不喜歡這個|2020-06-24 1:42:00|1|1|1
讚讚^_^|2020-06-24 12:42:00|6|6|2
大爛片....|2020-06-25 14:42:00|16|1|5
今年度最好看的一部QQ|2020-06-26 14:42:00|18|2|5
爆推!!!!|2020-06-27 11:42:00|20|4|6
好片推一個!!|2020-06-27 14:02:00|6|1|2
男主角好帥<3|2020-06-27 19:04:00|3|1|1
女主角很美<3|2020-06-28 18:24:00|2|3|1
彩蛋超級短的欸|2020-06-29 6:42:00|8|6|3
只有我覺得是大爛片嗎....|2020-06-29 9:28:00|11|3|4
哈哈哈|2020-06-29 11:42:00|16|1|5
電影很好看~~~|2020-06-29 12:44:43|14|2|4
我覺得你說得很好~~推推|2020-06-29 14:27:00|19|2|6
我不喜歡這個|2020-06-30 1:42:00|21|5|6
讚讚^_^|2020-06-30 12:42:00|14|3|4
大爛片....|2020-07-01 14:42:00|15|6|5
今年度最好看的一部QQ|2020-07-02 14:42:00|11|1|4
爆推!!!!|2020-07-03 11:42:00|12|1|4
好片推一個!!|2020-07-04 14:02:00|10|1|4
男主角好帥<3|2020-07-05 19:04:00|21|4|6
女主角很美<3|2020-07-06 18:24:00|17|3|5
彩蛋超級短的欸|2020-07-07 6:42:00|18|2|5
只有我覺得是大爛片嗎....|2020-07-09 9:28:00|21|3|6
哈哈哈|2020-07-11 11:42:00|1|6|1
電影很好看~~~|2020-07-13 12:44:43|2|3|1
我覺得你說得很好~~推推|2020-07-15 14:27:00|8|2|3
我不喜歡這個|2020-07-16 1:42:00|10|6|4
讚讚^_^|2020-07-18 12:42:00|3|6|1
大爛片....|2020-07-20 14:42:00|18|1|5
今年度最好看的一部QQ|2020-07-21 14:42:00|15|2|5
爆推!!!!|2020-07-23 11:42:00|15|1|5
好片推一個!!|2020-07-25 14:02:00|4|6|1
